المحل,المدينة,الحي,الجوال,المعاينة المحلية,المصدر,إنستقرام,قوقل ماب,تاريخ التحقق
ري سبا,الرياض,الملقا,+966534305193,http://127.0.0.1:4180/ri/,https://www.fresha.com/a/ri-spa-ry-sb-riyadh-ri-spa-ry-sb-dy7imz1t,https://www.instagram.com/rispa.sa?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw%3D%3D,https://www.google.com/maps/search/?api=1&query=Ri%20Spa%20%7C%20%D8%B1%D9%8A%20%D8%B3%D8%A8%D8%A7%2C%20Riyadh%2C%2013524%2C%20Riyadh%20Province,2026-09-05
كوت سبا,الرياض,النرجس,+966554993382,http://127.0.0.1:4180/cote/,https://www.fresha.com/a/cote-nail-spa-kwt-sb-riyadh-8782-uthman-ibn-affan-rd-yi93aygh,https://www.instagram.com/cote_spa/,https://www.google.com/maps/search/?api=1&query=8782%20Uthman%20Ibn%20Affan%20Rd%2C%20Riyadh%2C%2013323%2C%20Riyadh%20Province,2026-09-05
وذن سبا,الرياض,الملقا,+966538313030,http://127.0.0.1:4180/wthn/,https://www.fresha.com/a/wthn-spa-riyadh-wthn-spa-w2fxr8hg,https://www.instagram.com/wthnspa/,https://www.google.com/maps/search/?api=1&query=Wthn%20Spa%2C%206473%2C%20Riyadh%2C%2013523%2C%20Riyadh%20Province,2026-09-05
فلير سبا,الرياض,الصحافة,+966557349977,http://127.0.0.1:4180/flaire/,https://www.fresha.com/a/flaire-spa-lryd-flaire-spa-hy-sj8nsilo,,https://www.google.com/maps/search/?api=1&query=Flaire%20Spa%2C%20%D8%AD%D9%8A%2C%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%2C%2013315%2C%20%D9%85%D9%86%D8%B7%D9%82%D8%A9%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6,2026-09-05
ترفه سبا,جدة,شارع حلمي كتبي,+966504695555,http://127.0.0.1:4180/tarfah/,https://www.fresha.com/a/tarfah-spa-trfh-sb-jeddah-slwn-trfh-sb-helmi-koutbi-street-jeddah-23521-saudi-arabia-q1iznhzr,,https://www.google.com/maps/search/?api=1&query=%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AA%D8%B1%D9%81%D9%87%20%D8%B3%D8%A8%D8%A7%2C%20Helmi%20Koutbi%2C%20street%2C%20Jeddah%2023521%2C%20Saudi%20Arabia%2C%20Jeddah%2C%20%2023521%2C%20Makkah%20Province,2026-09-05
بيس كوت,جدة,الروضة,+966505999627,http://127.0.0.1:4180/basecoat/,https://www.fresha.com/a/base-coat-nail-spa-jeddah-3940-al-rawdhah-rbwufloi,,https://www.google.com/maps/search/?api=1&query=3940%20Al%20Rawdhah%2C%20303%2C%20Jeddah%2C%2023433%2C%20Makkah%20Province,2026-09-05
قلو داي سبا,الرياض,العقيق,+966538370726,http://127.0.0.1:4180/glowday/,https://www.fresha.com/a/glow-day-riyadh-prince-turki-ibn-abdulaziz-al-awwal-rd-al-aqiq-riyadh-13515-hrvkwiub,https://www.instagram.com/glowday.riyadh/,https://www.google.com/maps/search/?api=1&query=Prince%20Turki%20Ibn%20Abdulaziz%20Al%20Awwal%20Rd%2C%20Al%20Aqiq%2C%20Riyadh%2013515%2C%20Riyadh%2C%20Riyadh%20Province,2026-09-05
بنانة سبا,الرياض,الصحافة,+966570497544,http://127.0.0.1:4180/bannanah/,https://www.fresha.com/a/bannanah-spa-bnn-sb-riyadh-prince-nasir-bin-saud-bin-farhan-al-saud-street-eyhb383g,https://www.instagram.com/bannanah.spa?igsh=cDhid3VzMWxraHdl&utm_source=qr,https://www.google.com/maps/search/?api=1&query=Prince%20Nasir%20Bin%20Saud%20Bin%20Farhan%20Al%20Saud%20Street%2C%20Riyadh%2C%2013321%2C%20Riyadh%20Province,2026-09-05
ريلاكس فوت سبا,الرياض,قرطبة,+966506166649,http://127.0.0.1:4180/relax/,https://www.fresha.com/a/relax-foot-spa-for-women-riyadh-rp5p-wj-p2za2wrf,,https://www.google.com/maps/search/?api=1&query=RP5P%2BWJ%2C%20Riyadh%2C%2013245%2C%20Riyadh%20Province,2026-09-05
نانيس سبا,الرياض,الربيع,+966568536868,http://127.0.0.1:4180/nanis/,https://linktr.ee/nanespa,https://www.instagram.com/nanis.spa.sa/,https://www.google.com/maps/search/?api=1&query=Nanis+Spa+Riyadh,2026-09-05
